Study Area,Degree,University,City,Degree Duration,Fee,Contact Number,Email,URL,Address
Medical Sciences,Medicine - Mbbs,Isra University/hospital,Hyderabad,"MBBS , 5 Years",1300000,+92 22 2030181-4,info@isra.edu.pk ,https://isra.edu.pk/,"Isra University, Hala Road, Hyderabad, Sindh, Pakistan"
Medical Sciences,Medicine - Mbbs,Bahria University Medical & Dental College,Karachi,"MBBS , 5 Years",1100000,+92 21 99240002,info@bahria.edu.pk ,https://www.bahria.edu.pk/bumdc/ ,"Bahria University Medical & Dental College Stadium Road, Karachi, Pakistan"
Medical Sciences,Medicine - Mbbs,Baqai Medical University,Karachi,"MBBS , 5 Years",1225000,(092-21)34410293,info@baqai.edu.pk ,https://baqai.edu.pk/ ,"51, Deh Tor, Gadap Road, Near Toll Plaza, Super Highway P.O Box No 2407, Karachi - 75340, Pakistan."
Medical Sciences,Medicine - Mbbs,Hamdard University,Karachi,"MBBS , 5 Years",1375000,021 111 102 030,info@hamdard.edu.pk ,https://www.hamdard.edu.pk/,"Madinat al-Hikmah, Mohammad Bin Qasim Avenue, Karachi, Pakistan."
Medical Sciences,Medicine - Mbbs,Zia-ud-din Medical University,Karachi,"MBBS , 5 Years",1660000,(9221)35862937,info@zu.edu.pk,https://zmc.zu.edu.pk/ ,"Clifton Site:4/B, Shahrah-e-Ghalib, Block 6, Clifton Karachi."
Medical Sciences,Medicine - Mbbs,University College Of Medicine And Dentistry,Lahore,"MBBS , 5 Years",1640000,+92 42 111-865-865,info@ucmd.uol.edu.pk,https://ucmd.uol.edu.pk/ ,"Defence Road
Lahore, Pakistan"
Medical Sciences,Medicine - Mbbs,Ayub Medical College / Ayub Hospital,Abbottabad,"MBBS , 5 Years",200000,92992920100,info@ayubmed.edu.pk ,https://ayubmed.edu.pk/ ,"Main Mansehra Road,Abbottabad, KPK, Pakistan"
Medical Sciences,Medicine - Mbbs,Quaid-e-azam Medical College / Victoria Hospital,Bahawal Pur,"MBBS , 5 Years",15630,92629250431,info.students@qamc.edu.pk ,https://qamc.edu.pk/ ,"Circular Road Bahawalpur,Pakistan."
Medical Sciences,Medicine - Mbbs, Bannu Medical College,Bannu,"MBBS , 5 Years",0,not mentioned,not mentioned,https://bmckp.edu.pk/ ,"Bannu Medical College, Township Bannu
Khyber Pakhtunkhwa , Pakistan."
Medical Sciences,Medicine - Mbbs, D. G. Khan Medical College,D.g.khan,"MBBS , 5 Years",15630,not mentioned,not mentioned,https://www.dgkmc.edu.pk/ ,"Dera Ghazi Khan, Punjab, Pakistan"
Medical Sciences,Dentistry, Liaquat University Of Medical And Health Sciences,Jamshoro,"BDS , 4 Years",31900,+92 22 9213305,info@lumhs.edu.pk ,http://www.lumhs.edu.pk/,"Liaquat University of Medical and Health Sciences Jamshoro, Sindh, Pakistan"
Medical Sciences,Dentistry, Jinnah Sindh Medical University,Karachi,"BDS , 4 Years",175000,+92 21 99205185,info@jsmu.edu.pk,http://www.jsmu.edu.pk/,"Jinnah Sindh Medical University Rafiqui H.J Shaheed Road, Karachi, Pakistan"
Medical Sciences,Dentistry, Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,"BDS , 4 Years",31900,92749410907,not mentioned,https://www.smbbmu.edu.pk/beta/ ,"Larkana
Larkana, Sindh 77150
Pakistan"
Medical Sciences,Dentistry,Nishtar Medical College / Nishter Hospital,Multan,"BDS , 4 Years",15650,+92 61 9200232,info@nmch.edu.pk ,http://nmch.edu.pk/,"Nishtar Medical College / Nishter Hospital Nishtar Rd, Nishtar Chowk, Multan, Punjab, Pakistan"
Medical Sciences,Dentistry,Peoples University Of Medical And Health Sciences For Women,Nawab Shah,"BDS , 4 Years",31900,+92 244 937 052-5,info@pumhs.edu.pk ,https://pumhs.edu.pk/ ,"Shaheed Benazirabad, Nawabshah, Sindh, Pakistan"
Medical Sciences,Dentistry,Bolan Medical College / Bolan Hospital,Quetta,"BDS , 4 Years",70000,+92 (81) 9213303,info@bmc.edu.pk ,http://www.bmc.edu.pk/,"Bolan Medical College / Bolan Hospital BMC Chowk, Brewery Road, Quetta, Balochistan, Pakistan"
Medical Sciences,Dentistry,Isra University/hospital,Hyderabad,"BDS , 4 Years",1250000,+92 22 2030181-4,info@isra.edu.pk ,https://isra.edu.pk/,"Isra University, Hala Road, Hyderabad, Sindh, Pakistan"
Medical Sciences,Dentistry, Bahria University Medical & Dental College,Karachi,"BDS , 4 Years",1400000,+92 21 99240002,info@bahria.edu.pk ,https://www.bahria.edu.pk/bumdc/ ,"Bahria University Medical & Dental College Stadium Road, Karachi, Pakistan"
Medical Sciences,Dentistry, Baqai Medical University,Karachi,"BDS , 4 Years",1225000,(092-21)34410293,info@baqai.edu.pk ,https://baqai.edu.pk/ ,"51, Deh Tor, Gadap Road, Near Toll Plaza, Super Highway P.O Box No 2407, Karachi - 75340, Pakistan."
Medical Sciences,Dentistry, Hamdard University,Karachi,"BDS , 4 Years",1280000,021 111 102 030,info@hamdard.edu.pk ,https://www.hamdard.edu.pk/,"Madinat al-Hikmah, Mohammad Bin Qasim Avenue, Karachi, Pakistan."
Medical Sciences,Dentistry,Zia-ud-din Medical University,Karachi,"BDS , 4 Years",1660000,(9221)35862937,info@zu.edu.pk,https://zmc.zu.edu.pk/ ,"Clifton Site:4/B, Shahrah-e-Ghalib, Block 6, Clifton Karachi."
Medical Sciences,Dentistry,University College Of Medicine And Dentistry,Lahore,"BDS , 4 Years",1640000,+92 42 111-865-865,info@ucmd.uol.edu.pk,https://ucmd.uol.edu.pk/ ,"Defence Road
Lahore, Pakistan"
Medical Sciences,Dentistry,Ayub Medical College / Ayub Hospital,Abbottabad,"BDS , 4 Years",600000,92992920100,info@ayubmed.edu.pk ,https://ayubmed.edu.pk/ ,"Main Mansehra Road,Abbottabad, KPK, Pakistan"
Medical Sciences,Dentistry,Punjab Medical College / Allied Hospital,Faisalabad,"BDS , 4 Years",15650,+92 41 9210080,principal@pmc.edu.pk,https://www.pmc.edu.pk/ ,"Sargodha Road, Faisalabad, Punjab, Pakistan"
Medical Sciences,Dentistry,Federal Medical And Dental College,Islamabad,"BDS , 4 Years",24000,(051) 9255808,fmdc.info@gmail.com ,https://www.facebook.com/FMDC.Pak/ ,"Islamabad, Islamabad Capital Territory, Pakistan-44000"
Medical Sciences,Dentistry, Dow Medical College (dmc Campus),Karachi,"BDS , 4 Years",160000,+92 (21) 99215754,info@dmc.edu.pk ,http://www.dmc.edu.pk/,"Dow Medical College Baba-e-Urdu Road, Karachi, Pakistan"
Medical Sciences,Dentistry,Dr Ishrat Ul Ebad Institute Of Oral Health Sciences (smc Campus),Karachi,"BDS , 4 Years",160000,+92 21 38771111,dikiohs@duhs.edu.pk ,https://www.duhs.edu.pk/test/dikiohs/#ctu ,"Ojha Campus-DUHS, Gulzar-e-Hijri Scheme-33,
Suparco Road, Karachi."
Medical Sciences,Dentistry,Karachi Medical & Dental College / Abbasi Shaheed Hospital,Karachi,"BDS , 4 Years",32000,(+9221) 99260301,info@kmdc.edu.pk,https://www.kmdc.edu.pk/ ,"Block M, North Nazimabad,
Karachi-74700. PAKISTAN"
Medical Sciences,Dentistry,De'montmorency College Of Dentistry / Dental Hospital,Lahore,"BDS , 4 Years",15650,not mentioned,not mentioned,https://www.paklearningspot.com/2022/01/de-montmorency-college-of-dentistry.html ,"Lahore, Punjab, Pakistan.next to the Badshahi Masjid"
Medical Sciences,Dentistry,Bacha Khan Medical College,Mardan,"BDS , 4 Years",0,+92 937 9230583,info@bkmc.edu.pk ,https://bkmc.edu.pk/ ,"Main Nowshera Road, Near Sheikh Maltoon Town, Mardan, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Human Diet & Nutrition,Cholistan University Of Veterinary & Animal Sciences,Bahawal Pur,"BS , 4 Years",54000,062-9255716,registrar@cuvas.edu.p,https://www.cuvas.edu.pk/ ,"Cholistan University of Veterinary & Animal Sciences, Bahawalpur"
Medical Sciences,Human Diet & Nutrition,The Islamia University Of Bahawalpur,Bahawal Pur,"BS , 4 Years",47800,+92-062 9255875,ilo@iub.edu.pk ,https://www.iub.edu.pk/index.php ,"Directorate of International Linkages, Bagdad-ul-jadeed Campus,
The Islamia University of Bahawalpur"
Medical Sciences,Human Diet & Nutrition,Bacha Khan University,Charsadda,"BS , 4 Years",50780,091-6540116,webmaster@bkuc.edu.pk ,https://bkuc.edu.pk/ ,"Bacha Khan University Palosa, Charsadda Khyber Pakhtunkhwa Pakistan."
Medical Sciences,Human Diet & Nutrition,Ghazi University,D.g.khan,"BS , 4 Years",23700,+92 (64) 9260135,info@gudgk.edu.pk,https://www.gudgk.edu.pk/ ,"COLLEGE CHOWK, DERA GHAZI KHAN.PAKISTAN."
Medical Sciences,Human Diet & Nutrition,Gomal University,D.i. Khan,"BS , 4 Years",0,+92 966-750-354,info@gomaluniversity.edu.pk ,http://www.gu.edu.pk/,"Gomal University, Dera Ismail Khan, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Human Diet & Nutrition,Government College University,Faisalabad,"BS , 4 Years",49000,+92 41 9200886,info@gcuf.edu.pk ,https://gcuf.edu.pk/ ,"Government College University, Allama Iqbal Road, Faisalabad, Pakistan."
Medical Sciences,Human Diet & Nutrition,Karakuram International University,Gilgit,"BS , 4 Years",42140,+92 5811 960606,info@kiu.edu.pk ,http://www.kiu.edu.pk/,"Karakoram International University Jutial, Gilgit, Gilgit-Baltistan, Pakistan"
Medical Sciences,Human Diet & Nutrition,University Of Haripur,Haripur,"BS , 4 Years",0,92995920602,registrar@uoh.edu.pk ,https://www.uoh.edu.pk/#gsc.tab=0 ,"The University of Haripur
Hattar Road Near Swat Chowk Haripur
Khyber Pakhtunkhwa Pakistan"
Medical Sciences,Human Diet & Nutrition,National University Of Science & Technology,Islamabad,"BSC (AGRI.) HON , 4 Years",0,92 51 111 11 68 78,Nips@nust.edu.pk ,https://nust.edu.pk/ ,"National University of Sciences & Technology (NUST) Campus, Sector H-12, Islamabad, Pakistan"
Medical Sciences,Human Diet & Nutrition, University Of Karachi,Karachi,"BS , 4 Years",0,+92 21 99261300-06,info@uok.edu.pk ,https://www.uok.edu.pk/,"University of Karachi, Main University Road, Karachi, Pakistan."
Medical Sciences,Human Diet & Nutrition, Kohat University Of Science & Technology,Kohat,"BS , 4 Years",42300,+92 922 529145-6,info@kust.edu.pk ,http://www.kust.edu.pk/ ,"Kohat University of Science & Technology, KUST, Kohat 26000, Khyber Pakhtunkhwa, Pakistan."
Medical Sciences,Human Diet & Nutrition,Women University Mardan,Mardan,"BS , 4 Years",41400,+92 937 923064,info@awkum.edu.pk ,http://www.awkum.edu.pk ,"Canal Road, Sheikh Maltoon Town, Mardan, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Human Diet & Nutrition,Mirpur University Of Science And Technology,Mir Pur (ajk),"BS , 4 Years",0,92 5827 961037,info@must.edu.pk,https://must.edu.pk/ ,"Allama Iqbal Road, Mirpur Azad Jammu & Kashmir.(10250)"
Medical Sciences,Human Diet & Nutrition,"Bahauddin Zakariya University, Multan",Multan,"B.Sc. [Hons] , 4 Years",39845,+92 61 9210071-74,info@bzu.edu.pk ,http://www.bzu.edu.pk/,"Bahauddin Zakariya University, Multan Multan Campus, Bosan Road, Multan, Pakistan"
Medical Sciences,Human Diet & Nutrition,Muhammad Nawaz Sharif University Of Agriculture,Multan,"B.Sc. [Hons] , 4 Years",70000,061-9201681,info@mnsuam.edu.pk,https://mnsuam.edu.pk/index.php/ ,"Old Shujaabad Road, Multan."
Medical Sciences,Human Diet & Nutrition,Multan University Of Science And Technology,Multan,"BS , 4 Years",0,0092 304 111 0630,support@multanust.edu.pk,https://multanust.edu.pk/ ,"0.7 Km Multan Southern Bypass Rd, Chowk Nag Shah Shershah Town,
Multan, Punjab"
Medical Sciences,Human Diet & Nutrition,Nishtar Medical College / Nishter Hospital,Multan,"BS (HONS) , 4 Years",0,+92 61 9200232,info@nmch.edu.pk ,http://nmch.edu.pk/,"Nishtar Medical College / Nishter Hospital Nishtar Rd, Nishtar Chowk, Multan, Punjab, Pakistan"
Medical Sciences,Human Diet & Nutrition,University Of Okara,Okara,"BS , 4 Years",46000,044-2636060,"https://www.uo.edu.pk/#:~:text=Email%3A-,info%40uo.edu.pk,-IMPORTANT%20LINKS",https://www.uo.edu.pk/ ,"2 KM Multan Road Renala Khurd By Pass, Okara-Pakistan"
Medical Sciences,Human Diet & Nutrition,Shaheed Benazir Bhutto Women University,Peshawar,"BS , 4 Years",0,92919224726,admissions@sbbwu.edu.pk ,http://www.sbbwu.edu.pk/sbbwu/ ,"Shaheed Benazir Bhutto Women University, LARAMA, Charsadda Road, Peshawar"
Medical Sciences,Human Diet & Nutrition,The University Of Agriculture,Peshawar,"BS , 4 Years",0,+92 91 9216541-45,info@aup.edu.pk ,https://www.aup.edu.pk/ ,"Agricultural University Peshawar, Khyber Pakhtunkhwa, Peshawar, Pakistan."
Medical Sciences,Medicine,Green International University,Lahore,"BS , 5 Years",0,+92 42 35459807-09,info@giu.edu.pk,https://www.giu.edu.pk/ ,"Bhobtian Avenue, 9 Km, Raiwind Road, Lahore"
Medical Sciences,Nursing, The Islamia University Of Bahawalpur,Bahawal Pur,"BS , 4 Years",80200,+92 62 9250235,info@iub.edu.pk ,https://www.iub.edu.pk/,"The Islamia University of Bahawalpur, Bahawalpur Campus Abbasia Campus, Bahawalpur, Pakistan"
Medical Sciences,Nursing,"Shaheed Zulfiqar Ali Bhutto Medical University, Pims",Islamabad,"B.Sc. , 2 Years",0,92519261170,info@szabmu.edu.pk ,http://www.szabmu.edu.pk/,"Shaheed Zulfiqar Ali Bhutto Medical University (SZABMU), PIMS, G-8/3, Islamabad, Pakistan"
Medical Sciences,Nursing,Liaquat University Of Medical And Health Sciences,Jamshoro,"B.NURS , 4 Years",35700,+92 22 9213305,info@lumhs.edu.pk ,https://www.lumhs.edu.pk,"Liaquat University of Medical and Health Sciences, Deh Soun Valhar, Jamshoro, Sindh, Pakistan."
Medical Sciences,Nursing,Dow University Of Health Sciences,Karachi,"B.Sc. , 4 Years",140000,922199215754-57,info@duhs.edu.pk ,https://duhs.edu.pk/,"Dow University of Health Sciences Baba-e-Urdu Road, Karachi - 74200, Pakistan."
Medical Sciences,Nursing,Kohat University Of Science & Technology,Kohat,"BS , 4 Years",87000,+92 922 529150,info@kust.edu.pk ,http://www.kust.edu.pk/,"Kohat University of Science & Technology Karakoram Hwy, Kohat, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Nursing,King Edward Medical University / Mayo Hospital,Lahore,"B.Sc. , 2 Years",54000,+92 42 9921145-54,info@kemu.edu.pk,http://www.kemu.edu.pk/,"Nelagumbad, Anarkali, Lahore, Punjab, Pakistan"
Medical Sciences,Nursing,Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,"B.Sc. , 4 Years",20000,+92 (74) 9410903,not mentioned,https://www.smbbmu.edu.pk/beta/,"Shaheed Mohtarma Benazir Bhutto Medical University, Larkana Campus, Chandka Medical College Road, Larkana, Sindh, Pakistan."
Medical Sciences,Nursing,Multan University Of Science And Technology,Multan,"BS , 4 Years",0,0092 304 111 0630,support@multanust.edu.pk,https://multanust.edu.pk/ ,"0.7 Km Multan Southern Bypass Rd, Chowk Nag Shah Shershah Town,
Multan, Punjab"
Medical Sciences,Nursing,Nfc Institute Of Engineering & Technology,Multan,"BS , 4 Years",0,0092-61 9220012,info@nfciet.edu.pk,https://www.nfciet.edu.pk/ ,"NFC Institute of Engineering & Technology
Vice Chancellor Secretariat
P.O. Fertilizers Project
Khanewal Road, Multan,
Punjab
6000
Pakistan"
Medical Sciences,Nursing, Nishtar Medical College / Nishter Hospital,Multan,"B.Sc. , 4 Years",0,+92 61 9200232,info@nmch.edu.pk ,http://nmch.edu.pk/,"Nishtar Medical College / Nishter Hospital Nishtar Rd, Nishtar Chowk, Multan, Punjab, Pakistan"
Medical Sciences,Nursing, University Of Azad Jammu & Kashmir,Muzaffarabad,"BS , 4 Years",0,+92 5822 960466,info@ajku.edu.pk ,http://www.ajku.edu.pk/,"Chehla Campus, Muzaffarabad, Azad Kashmir, Pakistan"
Medical Sciences,Nursing,Peoples University Of Medical And Health Sciences For Women,Nawab Shah,"BS , 4 Years",0,+92 244 937 052-5,info@pumhs.edu.pk ,https://pumhs.edu.pk/ ,"Shaheed Benazirabad, Nawabshah, Sindh, Pakistan"
Medical Sciences,Nursing,Khyber Medical University,Peshawar,"B.NURS , 4 Years",80000,091 - 9217703,webmaster@kmu.edu.pk,https://kmu.edu.pk/ ,"PDA Building, Block IV, Phase 5, Hayatabad, Peshawar, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Nursing, Bolan Medical College / Bolan Hospital,Quetta,"BS , 4 Years",0,+92 (81) 9213303,info@bmc.edu.pk ,http://www.bmc.edu.pk/,"Bolan Medical College / Bolan Hospital BMC Chowk, Brewery Road, Quetta, Balochistan, Pakistan"
Medical Sciences,Nursing,The University Of Faisalabad,Faisalabad,"B.NURS , 4 Years",180000,92 41 8868326,Info@tuf.edu.pk,https://www.tuf.edu.pk/ ,"Sargodha Road, University Town, Faisalabad"
Medical Sciences,Nursing,The University Of Chenab,Gujrat,"BS , 4 Years",0,+92533 111 243 622,info@uchenab.edu.pk ,https://uchenab.edu.pk/ ,"Adjacent Chenab Bridge GT Road Gujrat, Pakistan"
Medical Sciences,Nursing,Isra University/hospital,Hyderabad,"BS , 4 Years",140000,+92 22 2030181-4,info@isra.edu.pk ,https://isra.edu.pk/,"Isra University, Hala Road, Hyderabad, Sindh, Pakistan"
Medical Sciences,Nursing, Foundation University,Islamabad,"BS , 4 Years",130000,(051) 111 384 111,info@fui.edu.pk ,https://fui.edu.pk/ ,"Foundation University Defence Avenue, DHA phase 1 Islamabad"
Medical Sciences,Nursing,Foundation University,Islamabad,"B.Sc. , 2 Years",140000,(051) 111 384 112,info@fui.edu.pk ,https://fui.edu.pk/ ,"Foundation University Defence Avenue, DHA phase 1 Islamabad"
Medical Sciences,Nursing,Ibadat International University Islamabad,Islamabad,"BS , 4 Years",0,051 448 6422,info@iiui.edu.pk ,https://iiui.edu.pk/ ,"6.7 km Japan Road Sihala
Islamabad"
Medical Sciences,Pharmaceutical Marketing,Pimsat - Institute Of Higher Education,Karachi,"AD , 2 Years",0,+92 21 -3278 9891,not mentioned,https://pimsat-khi.edu.pk/ ,"Beside Creek General Hospital, Ibrahim Hyderi Road, Korangi No.1 Karachi"
Medical Sciences,Pharmacy,Abbottabad University Of Science And Technology,Abbottabad,"PHARM.D , 5 Years",105800,+92 992-811720,info@aust.edu.pk,https://aust.edu.pk/ ,"Captain Akaash Rabbani Shaheed Road,
Havelian, KPK, Pakistan"
Medical Sciences,Pharmacy,The Islamia University Of Bahawalpur,Bahawal Pur,"PHARM.D , 5 Years",82200,+92-062 9255875,ilo@iub.edu.pk ,https://www.iub.edu.pk/index.php ,"Directorate of International Linkages, Bagdad-ul-jadeed Campus,
The Islamia University of Bahawalpur"
Medical Sciences,Pharmacy,University Of Malakand,Chakdara,"PHARM.D , 5 Years",20000,0945 920511,Admissions@uom.edu.pk ,https://uom.edu.pk/ ,"University of Malakand, Chakdara Dir Lower,Khyber Pakhtunkhwa Pakistan"
Medical Sciences,Pharmacy,Bacha Khan University,Charsadda,"PHARM.D , 5 Years",0,091-6540116,webmaster@bkuc.edu.pk ,https://bkuc.edu.pk/ ,"Bacha Khan University Palosa, Charsadda Khyber Pakhtunkhwa Pakistan."
Medical Sciences,Pharmacy,Gomal University,D.i. Khan,"PHARM.D , 5 Years",52220,+92 966-750-354,info@gomaluniversity.edu.pk ,http://www.gu.edu.pk/,"Gomal University, Dera Ismail Khan, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Pharmacy,Government College University,Faisalabad,"PHARM.D , 5 Years",111000,+92 41 9200886,info@gcuf.edu.pk ,https://gcuf.edu.pk/ ,"Government College University, Allama Iqbal Road, Faisalabad, Pakistan."
Medical Sciences,Pharmacy,University Of Agriculture,Faisalabad,"PHARM.D , 5 Years",114000,+92 41 9200161-70,info@uaf.edu.pk ,http://uaf.edu.pk/ ,"UniversityofAgriculture,AgricultureUniversityRoad,Faisalabad,"
Medical Sciences,Pharmacy,Hazara University [havellian Campus],Havelian,"PHARM.D , 5 Years",0,0997 414143 47,Registrar@hu.edu.pk ,https://www.hu.edu.pk/ ,"KKH Dhodiyal Mansehra,KPK"
Medical Sciences,Pharmacy,Quaid-e-azam University,Islamabad,"PHARM.D , 5 Years",73200,92519064000,info@qau.edu.pk ,http://www.qau.edu.pk/ ,"Quaid-i-Azam University,
Islamabad 45320, Pakistan"
Medical Sciences,Pharmacy,Liaquat University Of Medical And Health Sciences,Jamshoro,"PHARM.D , 5 Years",145000,+92 22 9213305,info@lumhs.edu.pk ,https://www.lumhs.edu.pk,"Liaquat University of Medical and Health Sciences, Deh Soun Valhar, Jamshoro, Sindh, Pakistan."
Medical Sciences,Pharmacy,University Of Sindh,Jamshoro,"PHARM.D , 5 Years",31000,+92 22 921 3210,info@admin.usindh.edu.pk ,http://www.usindh.edu.pk/ ,"University of Sindh Jamshoro, Sindh, Pakistan"
Medical Sciences,Pharmacy,"Benazir Bhutto Shaheed University, Lyari",Karachi,"PHARM.D , 5 Years",50200,92132744017,info@bbsul.edu.pk ,https://bbsul.edu.pk/ ,"Benazir Bhutto Shaheed University Lyari Karachi, Sindh, Pakistan"
Medical Sciences,Pharmacy,Dow University Of Health Sciences,Karachi,"PHARM.D , 5 Years",140000,922199215754-57,info@duhs.edu.pk ,https://duhs.edu.pk/,"Dow University of Health Sciences Baba-e-Urdu Road, Karachi - 74200, Pakistan."
Medical Sciences,Pharmacy, Jinnah Sindh Medical University,Karachi,"PHARM.D , 5 Years",106480,+92 21 99205185,info@jsmu.edu.pk,http://www.jsmu.edu.pk/,"Jinnah Sindh Medical University Rafiqui H.J Shaheed Road, Karachi, Pakistan"
Medical Sciences,Pharmacy, University Of Karachi,Karachi,"PHARM.D , 5 Years",54000,+92 21 99261300-06,info@uok.edu.pk ,https://www.uok.edu.pk/,"University of Karachi, Main University Road, Karachi, Pakistan."
Medical Sciences,Pharmacy,Shah Abdul Latif University,Khair Pur,"PHARM.D , 5 Years",55760,+92 243 9280170,info@salu.edu.pk ,http://www.salu.edu.pk/ ,"Shah Abdul Latif University, Khairpur District Khairpur, Sindh, Pakistan"
Medical Sciences,Pharmacy,Kohat University Of Science & Technology,Kohat,"PHARM.D , 5 Years",87000,+92 922 529150,info@kust.edu.pk ,http://www.kust.edu.pk/,"Kohat University of Science & Technology Karakoram Hwy, Kohat, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Pharmacy, Lahore College For Women University,Lahore,"PHARM.D , 5 Years",57970,924299203801-9,vc.office@lcwu.edu.pk,https://www.lcwu.edu.pk/ ,"Lahore College for Women University, Jail Road, Lahore."
Medical Sciences,Pharmacy, University Of Health Sciences,Lahore,"PHARM.D , 5 Years",0,111 33 33 66,info@uhs.edu.pk ,https://uhs.edu.pk/index1.php ,"University of Health Sciences, Khayaban-e-Jamia Punjab, Lahore-54600"
Medical Sciences,Pharmacy, University Of The Punjab,Lahore,"PHARM.D , 5 Years",18150,0092 42 99231099,infocell@pu.edu.pk ,http://www.pu.edu.pk/ ,"P.O. Box No. 54590. Lahore, Pakistan."
Medical Sciences,Public Health,Abbottabad University Of Science And Technology,Abbottabad,"BS , 4 Years",105800,+92 992-811720,info@aust.edu.pk,https://aust.edu.pk/ ,"Captain Akaash Rabbani Shaheed Road,
Havelian, KPK, Pakistan"
Medical Sciences,Public Health,The Islamia University Of Bahawalpur,Bahawal Pur,"BS , 4 Years",80200,+92-062 9255875,ilo@iub.edu.pk ,https://www.iub.edu.pk/index.php ,"Directorate of International Linkages, Bagdad-ul-jadeed Campus,
The Islamia University of Bahawalpur"
Medical Sciences,Public Health,Gomal University,D.i. Khan,"BS , 4 Years",0,+92 966-750-354,info@gomaluniversity.edu.pk ,http://www.gu.edu.pk/,"Gomal University, Dera Ismail Khan, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Public Health,University Of Haripur,Haripur,"BS , 4 Years",38000,92995920602,registrar@uoh.edu.pk ,https://www.uoh.edu.pk/#gsc.tab=0 ,"The University of Haripur
Hattar Road Near Swat Chowk Haripur
Khyber Pakhtunkhwa Pakistan"
Medical Sciences,Public Health," Bahria University, E-8 Campus",Islamabad,"BS , 4 Years",142800,92 51 9260002,info@bahria.edu.pk,https://www.bahria.edu.pk/buic/,"Shangrilla Road, Sector E-8 Islamabad"
Medical Sciences,Public Health,Dow University Of Health Sciences,Karachi,"BS , 4 Years",100000,922199215754-57,info@duhs.edu.pk ,https://duhs.edu.pk/,"Dow University of Health Sciences Baba-e-Urdu Road, Karachi - 74200, Pakistan."
